stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8711666,"MAREUIL SUR OURCQ",,49.135474,3.075627,,,1,
StopArea:DUA8711664,"CROUY SUR OURCQ",,49.091908,3.062916,,,1,
StopArea:DUA8711663,"LIZY SUR OURCQ",,49.021915,3.031758,,,1,
StopArea:DUA8711658,"CHATEAU THIERRY",,49.037949,3.409597,,,1,
StopArea:DUA8711657,"CHEZY SUR MARNE",,48.990359,3.361628,,,1,
StopArea:DUA8711656,"NOGENT L'ARTAUD CHARLY",,48.966927,3.298782,,,1,
StopArea:DUA8711655,"NANTEUIL SAACY",,48.97389,3.219757,,,1,
StopArea:DUA8711651,"LA FERTE SOUS JOUARRE",,48.950549,3.124783,,,1,
StopArea:DUA8711650,"CHANGIS SAINT-JEAN",,48.958998,3.025092,,,1,
StopArea:DUA8711649,"TRILPORT",,48.959491,2.950306,,,1,
StopArea:DUA8711610,"MEAUX",,48.956986,2.874049,,,1,
StopArea:DUA8738173,"NEZEL AULNAY",,48.938711,1.84096,,,1,
StopArea:DUA8738172,"MAULE",,48.908726,1.857333,,,1,
StopArea:DUA8738171,"MAREIL SUR MAULDRE",,48.893239,1.871738,,,1,
StopArea:DUA8739336,"BEYNES",,48.858694,1.8753,,,1,
StopArea:DUA8739342,"PLAISIR GRIGNON",,48.831503,1.94372,,,1,
StopArea:DUA8739348,"DREUX",,48.730955,1.369974,,,1,
StopArea:DUA8768310,"VILLENEUVE LA GUYARD",,48.343269,3.069688,,,1,
StopArea:DUA8768312,"CHAMPIGNY SUR YONNE",,48.324052,3.13114,,,1,
StopArea:DUA8768313,"PONT SUR YONNE",,48.286391,3.201894,,,1,
StopArea:DUA8768300,"SENS",,48.198417,3.26732,,,1,
StopArea:DUA8768320,"ETIGNY VERON",,48.137611,3.289742,,,1,
StopArea:DUA8768321,"VILLENEUVE SUR YONNE",,48.085184,3.286257,,,1,
StopArea:DUA8768322,"SAINT-JULIEN DU SAULT",,48.026687,3.302565,,,1,
StopArea:DUA8768324,"JOIGNY",,47.97343,3.392865,,,1,
StopArea:DUA8768326,"LAROCHE MIGENNES",,47.961118,3.514336,,,1,
StopArea:DUA8739153,"VANVES MALAKOFF",,48.818605,2.292054,,,1,
StopArea:DUA8739156,"CLAMART",,48.813599,2.273056,,,1,
StopArea:DUA8739310,"MEUDON",,48.814807,2.241096,,,1,
StopArea:DUA8739311,"BELLEVUE",,48.81898,2.229595,,,1,
StopArea:DUA8739312,"SEVRES RIVE GAUCHE",,48.821046,2.216018,,,1,
StopArea:DUA8739320,"CHAVILLE RIVE GAUCHE",,48.804672,2.188339,,,1,
StopArea:DUA8739321,"VIROFLAY RIVE GAUCHE",,48.802512,2.170997,,,1,
StopArea:DUA8711661,"ISLES ARMENTIERES CONGIS",,48.998273,3.007334,,,1,
StopArea:DUA8711631,"LAGNY THORIGNY",,48.882505,2.706266,,,1,
StopArea:DUA8711632,"ESBLY",,48.903333,2.810929,,,1,
StopArea:DUA8727649,"MONTSOULT MAFFLIERS",,49.067258,2.322044,,,1,
StopArea:DUA8727202,"VILLAINES",,49.078011,2.354017,,,1,
StopArea:DUA8727655,"BELLOY SAINT-MARTIN",,49.0984,2.361271,,,1,
StopArea:DUA8727656,"VIARMES",,49.11682,2.368116,,,1,
StopArea:DUA8727203,"SEUGY",,49.119023,2.399725,,,1,
StopArea:DUA8727657,"LUZARCHES",,49.117331,2.421002,,,1,
StopArea:DUA8711630,"COULOMMIERS",,48.808006,3.082156,,,1,
StopArea:DUA8711628,"MOUROUX",,48.814085,3.042844,,,1,
StopArea:DUA8711627,"FAREMOUTIERS POMMEUSE",,48.808654,2.99311,,,1,
StopArea:DUA8711626,"GUERARD LA CELLE SUR MORIN",,48.81098,2.955454,,,1,
StopArea:DUA8711624,"MORTCERF",,48.789497,2.907387,,,1,
StopArea:DUA8711622,"MARLES EN BRIE",,48.734335,2.868327,,,1,
StopArea:DUA8711607,"VERNEUIL L'ETANG",,48.644663,2.82514,,,1,
StopArea:DUA8711608,"MORMANT",,48.613265,2.889336,,,1,
StopArea:DUA8711609,"NANGIS",,48.561027,3.012768,,,1,
StopArea:DUA8711613,"LONGUEVILLE",,48.513571,3.249763,,,1,
StopArea:DUA8711617,"SAINTE-COLOMBE SEPTVEILLES",,48.529149,3.255368,,,1,
StopArea:DUA8711587,"CHAMPBENOIST POIGNY",,48.545595,3.287313,,,1,
StopArea:DUA8711616,"PROVINS",,48.555827,3.302678,,,1,
StopArea:DUA8754513,"ETAMPES",,48.43672,2.159608,,,1,
StopArea:DUA8754535,"SAINT-MARTIN D'ETAMPES",,48.428414,2.145143,,,1,
StopArea:DUA8739303,"Invalides",,48.861754,2.314244,,,1,
StopArea:DUA8739304,"PONT DE L'ALMA",,48.862358,2.301982,,,1,
StopArea:DUA8739305,"CHAMP DE MARS TOUR EIFFEL",,48.85605,2.293755,,,1,
StopArea:DUA8739306,"JAVEL",,48.844909,2.279547,,,1,
StopArea:DUA8739332,"PONT GARIGLIANO - HOPITAL EUROPEEN GEORGE POMPIDOU",,48.838984,2.271413,,,1,
StopArea:DUA8739330,"ISSY VAL DE SEINE",,48.829456,2.263952,,,1,
StopArea:DUA8739307,"ISSY",,48.819967,2.258999,,,1,
StopArea:DUA8739308,"MEUDON VAL FLEURY",,48.807963,2.241104,,,1,
StopArea:DUA8739317,"CHAVILLE VELIZY",,48.799729,2.183684,,,1,
StopArea:DUA8754519,"BRETIGNY",,48.60697,2.302187,,,1,
StopArea:DUA8754520,"SAINT-MICHEL SUR ORGE",,48.635904,2.306827,,,1,
StopArea:DUA8754521,"SAINTE-GENEVIEVE DES BOIS",,48.653146,2.313707,,,1,
StopArea:DUA8754522,"EPINAY SUR ORGE",,48.669821,2.332118,,,1,
StopArea:DUA8754523,"SAVIGNY SUR ORGE",,48.676218,2.3513,,,1,
StopArea:DUA8732832,"Bibliothèque François Mitterrand",,48.830022,2.375322,,,1,
StopArea:DUA8754702,"GARE DE PARIS AUSTERLITZ",,48.843685,2.364483,,,1,
StopArea:DUA8754545,"LA NORVILLE SAINT-GERMAIN LES ARPAJON",,48.591461,2.266938,,,1,
StopArea:DUA8754546,"ARPAJON",,48.586308,2.242561,,,1,
StopArea:DUA8754547,"EGLY",,48.582292,2.222073,,,1,
StopArea:DUA8754548,"BREUILLET BRUYERES LE CHATEL",,48.577175,2.192246,,,1,
StopArea:DUA8754549,"BREUILLET VILLAGE",,48.564818,2.17177,,,1,
StopArea:DUA8754550,"SAINT-CHERON",,48.551429,2.125121,,,1,
StopArea:DUA8754551,"SERMAISE",,48.535597,2.069615,,,1,
StopArea:DUA8739315,"GARE DE VERSAILLES CHATEAU - RIVE GAUCHE",,48.800639,2.128288,,,1,
StopArea:DUA8739316,"PORCHEFONTAINE",,48.797334,2.153302,,,1,
StopArea:DUA8754528,"CHOISY LE ROI",,48.765127,2.410062,,,1,
StopArea:DUA8754527,"VILLENEUVE LE ROI",,48.739842,2.425715,,,1,
StopArea:DUA8754526,"ABLON",,48.725069,2.419203,,,1,
StopArea:DUA8754525,"ATHIS MONS",,48.712655,2.40297,,,1,
StopArea:DUA8739365,"PETIT VAUX",,48.676041,2.333523,,,1,
StopArea:DUA8739364,"GRAVIGNY BALIZY",,48.685714,2.317626,,,1,
StopArea:DUA8739363,"CHILLY MAZARIN",,48.699953,2.310026,,,1,
StopArea:DUA8739361,"LONGJUMEAU",,48.702688,2.296219,,,1,
StopArea:DUA8739357,"MASSY PALAISEAU",,48.724363,2.258007,,,1,
StopArea:DUA8739356,"IGNY",,48.738736,2.231985,,,1,
StopArea:DUA8739354,"BIEVRES",,48.751273,2.216284,,,1,
StopArea:DUA8739353,"VAUBOYEN",,48.758312,2.191182,,,1,
StopArea:DUA8739351,"JOUY EN JOSAS",,48.764956,2.163598,,,1,
StopArea:DUA8739350,"PETIT JOUY LES LOGES",,48.770425,2.146832,,,1,
StopArea:DUA8754730,"MUSEE D'ORSAY",,48.860986,2.32477,,,1,
StopArea:DUA8754518,"MAROLLES EN HUREPOIX",,48.565394,2.290419,,,1,
StopArea:DUA8754517,"BOURAY",,48.533294,2.290732,,,1,
StopArea:DUA8754516,"LARDY",,48.520651,2.255463,,,1,
StopArea:DUA8754515,"CHAMARANDE",,48.514597,2.216059,,,1,
StopArea:DUA8754514,"ETRECHY",,48.493633,2.194152,,,1,
StopArea:DUA8754530,"IVRY SUR SEINE",,48.814661,2.391736,,,1,
StopArea:DUA8754529,"VITRY SUR SEINE",,48.799326,2.401561,,,1,
StopArea:DUA8749210,"LES ARDOINES",,48.782702,2.408613,,,1,
StopArea:DUA8754622,"LES SAULES",,48.746359,2.416816,,,1,
StopArea:DUA8754620,"ORLY VILLE",,48.742457,2.401732,,,1,
StopArea:DUA8754619,"PONT DE RUNGIS - Aéroport d'Orly",,48.747862,2.370864,,,1,
StopArea:DUA8768131,"VIRY CHATILLON",,48.675996,2.385762,,,1,
StopArea:DUA8768130,"VIGNEUX SUR SEINE",,48.708337,2.41512,,,1,
StopArea:DUA8738115,"BOISSY L'AILLERIE",,49.075357,2.025132,,,1,
StopArea:DUA8738116,"MONTGEROULT COURCELLES",,49.080625,2.004301,,,1,
StopArea:DUA8738117,"US",,49.09965,1.970536,,,1,
StopArea:DUA8738118,"SANTEUIL LE PERCHAY",,49.123452,1.949333,,,1,
StopArea:DUA8738119,"CHARS",,49.162671,1.936929,,,1,
StopArea:DUA8738120,"LA VILLETERTRE",,49.202694,1.920548,,,1,
StopArea:DUA8738121,"LIANCOURT SAINT-PIERRE",,49.220807,1.905299,,,1,
StopArea:DUA8738122,"CHAUMONT EN VEXIN",,49.261322,1.872589,,,1,
StopArea:DUA8738123,"TRIE CHATEAU",,49.28259,1.818082,,,1,
StopArea:DUA8738124,"GISORS",,49.285264,1.785066,,,1,
StopArea:DUA8738200,"BECON LES BRUYERES",,48.905763,2.269965,,,1,
StopArea:DUA8738107,"BOIS COLOMBES",,48.914604,2.270764,,,1,
StopArea:DUA8738108,"COLOMBES",,48.923666,2.259063,,,1,
StopArea:DUA8738109,"LE STADE",,48.930836,2.260776,,,1,
StopArea:DUA8738184,"ARGENTEUIL",,48.946635,2.257368,,,1,
StopArea:DUA8727618,"SANNOIS",,48.970691,2.263221,,,1,
StopArea:DUA8738221,"LA DEFENSE GRANDE ARCHE",,48.891967,2.238084,,,1,
StopArea:DUA8738238,"PUTEAUX",,48.883369,2.233348,,,1,
StopArea:DUA8738237,"SURESNES MONT VALERIEN",,48.871741,2.221981,,,1,
StopArea:DUA8738236,"LE VAL D'OR",,48.858243,2.21402,,,1,
StopArea:DUA8738235,"SAINT-CLOUD",,48.845229,2.217731,,,1,
StopArea:DUA8741588,"ROSNY SUR SEINE",,48.997149,1.630184,,,1,
StopArea:DUA8741589,"BONNIERES",,49.037977,1.57952,,,1,
StopArea:DUA8741560,"VERNON",,49.090597,1.479176,,,1,
StopArea:DUA8778543,"SAINT-MICHEL NOTRE DAME",,48.85343,2.345309,,,1,
